"protocolo","ano","tipo_pdi","status_pdi","aprov_pdi","status_rdi","aprov_rdi","ciclo_anos","pendente_anos","campo","bacia","operador","classe","objeto"
"48610.006098/2011-18","2011","","","","Aprovado","2019-05-02","","","MARITACA","RECÔNCAVO","SONANGOL","CAMPO TERRA","MARITACA"
"48610.006449/2014-33","2014","","","","Recebido","","","","","","PETROBRAS","INSTALACAO MAR","FPSO BRASIL"
"48610.006672/2014-81","2014","","","","Aprovado","2015-03-09","","","ESTRELA DO MAR","SANTOS","PETROBRAS","CAMPO MAR","ESTRELA DO MAR"
"48610.006713/2014-39","2014","","Aprovado","2017-01-09","Aprovado","2022-11-24","5.9","","CAÇÃO","ESPÍRITO SANTO","PETROBRAS","CAMPO MAR","CAÇÃO"
"48610.006790/2016-51","2016","Integral","Aprovado","2017-09-12","","","","8.9","TAMBUATÁ","SANTOS","PETROBRAS","CAMPO MAR","TAMBUATÁ"
"48610.007006/2018-93","2018","Integral","Aprovado","2020-09-28","","","","5.9","ESPADARTE","CAMPOS","PETROBRAS","INSTALACAO MAR","FPSO CIDADE DO RIO DE JANEIRO"
"48610.007031/2013-62","2013","","","","Aprovado","2018-11-23","","","GARÇA BRANCA","ESPÍRITO SANTO","CENTRAL RESOURCE","CAMPO TERRA","GARÇA BRANCA"
"48610.007321/2017-30","2017","","Aprovado","2021-07-18","","","","5.1","SIRI","POTIGUAR","PETROBRAS","CAMPO MAR","SIRI"
"48610.007328/2015-90","2015","Integral","Aprovado","2017-09-25","","","","8.9","CHAUÁ","POTIGUAR","ALVOPETRO","CAMPO TERRA","CHAUÁ"
"48610.007395/2018-57","2018","Integral","Aprovado","2019-06-17","","","","7.2","TARTARUGA VERDE","CAMPOS","PETROBRAS","INSTALACAO MAR","FPSO CIDADE DE RIO DAS OSTRAS"
"48610.008033/2015-31","2015","","Aprovado","2018-12-18","Aprovado","2024-03-06","5.2","","SALEMA BRANCA","POTIGUAR","PETROBRAS","CAMPO MAR","SALEMA BRANCA"
"48610.008040/2017-02","2017","","Aprovado","2021-12-09","","","","4.7","RIO IBIRIBAS","ESPÍRITO SANTO","PETROBRAS","CAMPO TERRA","RIO IBIRIBAS"
"48610.008041/2017-49","2017","Integral","Aprovado","2020-05-20","","","","6.2","RIO DOCE","ESPÍRITO SANTO","PETROBRAS","CAMPO TERRA","RIO DOCE"
"48610.008042/2017-93","2017","","Aprovado","2020-11-17","","","","5.7","ILHA DA CAÇUMBA","MUCURI","PETROBRAS","CAMPO TERRA","ILHA DA CAÇUMBA"
"48610.008265/2012-46","2012","Integral","Aprovado","2013-07-03","Aprovado","2017-04-04","3.8","","ARACUÃ","SERGIPE","SONANGOL","CAMPO TERRA","ARACUÃ"
"48610.008288/2015-01","2015","Integral","Aprovado","2016-05-30","","","","10.2","MEXILHÃO","SANTOS","PETROBRAS","CAMPO MAR","MEXILHÃO (CEDRO)"
"48610.008566/2015-12","2015","Integral","Aprovado","2016-01-18","Aprovado","2016-10-13","0.7","","PIRAPITANGA","SANTOS","PETROBRAS","CAMPO MAR","PIRAPITANGA"
"48610.009003/2015-41","2015","","Sobrestado","","","","","","NORDESTE DE NAMORADO","CAMPOS","PETROBRAS","CAMPO MAR","NORDESTE DE NAMORADO"
"48610.009820/2015-08","2015","Integral","Aprovado","2018-11-30","Aprovado","2020-06-18","1.5","","CORRUIRA","ESPÍRITO SANTO","PETROBRAS","CAMPO TERRA","CORRUÍRA"
"48610.009865/2016-55","2016","","Encerrado","","","","","","OESTE DE UBARANA","POTIGUAR","PETROBRAS","CAMPO MAR","OESTE DE UBARANA"
"48610.009941/2013-80","2013","","","","Aprovado","","","","CORAL","SANTOS","PETROBRAS","CAMPO MAR","CORAL"
"48610.010246/2014-41","2014","Integral","Aprovado","2016-05-18","","","","10.2","RIO MARIRICU","ESPÍRITO SANTO","PETROBRAS","CAMPO TERRA","RIO MARIRICU"
"48610.010247/2014-96","2014","Integral","Aprovado","2020-06-26","","","","6.1","RIO MARIRICU SUL","ESPÍRITO SANTO","PETROBRAS","CAMPO TERRA","RIO MARIRICU SUL"
"48610.010248/2014-31","2014","","Aprovado","2017-09-20","","","","8.9","LAGOA PARDA SUL","ESPÍRITO SANTO","PETROBRAS","CAMPO TERRA","LAGOA PARDA SUL"
"48610.011149/2013-95","2013","Integral","Aprovado","2016-02-17","Aprovado","2020-05-28","4.3","","CIDADE DE SEBASTIÃO FERREIRA","ALAGOAS","PETROSYNERGY","CAMPO TERRA","CIDADE DE SEBASTIÃO FERREIRA"
"48610.011296/2013-65","2013","Integral","Aprovado","2015-02-11","Aprovado","2018-06-19","3.4","","JAPUAÇU","ALAGOAS","PETROBRAS","CAMPO TERRA","JAPUAÇU"
"48610.011366/2013-85","2013","Integral","Aprovado","2015-07-22","Aprovado","2020-06-18","4.9","","ACAUÃ LESTE","POTIGUAR","PETROBRAS","CAMPO TERRA","ACAUÃ LESTE"
"48610.012005/2013-56","2013","Integral","Aprovado","2017-08-11","","","","9","GUAIUBA","POTIGUAR","PETROBRAS","CAMPO MAR","GUAIUBA"
"48610.012206/2018-68","2018","Integral","Aprovado","2019-12-27","","","","6.6","VALE DO QUIRICO","RECÔNCAVO","PETROBRAS","CAMPO TERRA","VALE DO QUIRICO"
"48610.012427/2018-36","2018","Integral","Aprovado","2020-03-24","","","","6.4","CAMARÃO NORTE","CAMAMU","PETROBRAS","CAMPO MAR","CAMARÃO NORTE"
"48610.012552/2013-31","2013","Integral","Aprovado","","","","","","NOROESTE DO MORRO ROSADO","POTIGUAR","PETROBRAS","CAMPO TERRA","NOROESTE DO MORRO ROSADO"
"48610.012773/2015-71","2015","","","","Aprovado","2022-06-06","","","CATUÁ","CAMPOS","PETROBRAS","CAMPO MAR","CATUÁ"
"48610.012796/2018-29","2018","","Sobrestado","","","","","","JURUÁ","SOLIMÕES","PETROBRAS","CAMPO TERRA","JURUÁ"
"48610.013105/2013-08","2013","","Aprovado","2020-04-17","","","","6.3","IRAÍ","TUCANO SUL","PETROBRAS","CAMPO TERRA","IRAÍ"
"48610.013123/2014-62","2014","Integral","Aprovado","2016-05-30","","","","10.2","LAGOA PACAS","ALAGOAS","PETROSYNERGY","CAMPO TERRA","LAGOA PACAS"
"48610.013548/2014-71","2014","","Recebido","","","","","","IRAÚNA","POTIGUAR","PETROBRAS","CAMPO TERRA","IRAÚNA"
"48610.013698/2014-85","2014","","Encerrado","","","","","","SALGO","SERGIPE","PETROBRAS","CAMPO MAR","SALGO"
"48610.013771/2014-19","2014","","Aprovado","2025-02-11","","","","1.5","PIRAÚNA","CAMPOS","PETROBRAS","INSTALACAO MAR","PETROBRAS 15"
