"instalacao","fase","superficie","operador","tipo","inicio","parada","removida","lamina_m","vida_projeto"
"DVALIN NORD","IN SERVICE","N","Harbour Energy Norge AS","MULTI WELL TEMPLATE","2026-06-30","","","412","25"
"DVALIN PLEM","IN SERVICE","N","Harbour Energy Norge AS","SUBSEA STRUCTURE","2020-10-01","","","345","25"
"DVALIN PRODUCTION RISER BASE SSIV","IN SERVICE","N","Harbour Energy Norge AS","SUBSEA STRUCTURE","2020-10-01","","","345","25"
"EASINGTON","IN SERVICE","Y","Gassco AS","ONSHORE FACILITY","2006-10-01","","","0",""
"EDDA","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET 12 LEGS","1979-12-01","","2012-07-30","71","20"
"EDDA FL","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET TRIPOD","1976-12-01","","2006-07-15","70","20"
"EDVARD GRIEG","IN SERVICE","Y","Aker BP ASA","JACKET 4 LEGS","2015-11-28","","","109","30"
"EIRIN","IN SERVICE","N","Equinor Energy AS","MULTI WELL TEMPLATE","2026-05-05","","","120","30"
"EKOFISK A","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET 8 LEGS","1974-01-01","","2020-07-01","74","20"
"EKOFISK B","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET 12 LEGS","1974-10-01","","","74","20"
"EKOFISK BS1","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET TRIPOD","1972-01-01","","2009-06-30","72","20"
"EKOFISK BS3","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET TRIPOD","1974-01-01","","","72","20"
"EKOFISK BS4","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET TRIPOD","1975-01-01","","2007-07-15","72","20"
"EKOFISK C","SHUT DOWN","Y","ConocoPhillips Skandinavia AS","JACKET 12 LEGS","1974-01-01","2021-12-31","","77","20"
"EKOFISK FTP","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET 8 LEGS","1974-04-01","","2019-10-01","77","20"
"EKOFISK G","REMOVED","Y","Aker BP ASA","JACKET 4 LEGS","1982-10-01","","2024-08-01","77","20"
"EKOFISK H","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET 4 LEGS","1979-01-01","","2021-09-30","77","20"
"EKOFISK J","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET 8 LEGS","1998-08-18","","","77","30"
"EKOFISK K","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET 8 LEGS","1987-01-01","","","74","20"
"EKOFISK L","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET 4 LEGS","2014-04-01","","","79","40"
"EKOFISK L-BS","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET 4 LEGS","2013-10-25","","","79","40"
"EKOFISK M","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET 4 LEGS","2005-10-23","","","78","30"
"EKOFISK M-BS","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET TRIPOD","2005-10-23","","","78","30"
"EKOFISK NORD FL","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET TRIPOD","1975-01-01","","2007-07-15","72","20"
"EKOFISK P","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET 4 LEGS","1975-10-14","","2010-07-01","77","20"
"EKOFISK Q","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET 4 LEGS","1973-01-01","","2021-09-30","77","20"
"EKOFISK R","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET 8 LEGS","1977-09-01","","2010-07-01","77","20"
"EKOFISK S","REMOVED","Y","Gassco AS","JACKET 4 LEGS","1986-01-01","","2014-08-01","77","30"
"EKOFISK SBM-1","REMOVED","Y","ConocoPhillips Skandinavia AS","LOADING SYSTEM","","","1975-01-01","74",""
"EKOFISK SBM-2","REMOVED","Y","ConocoPhillips Skandinavia AS","LOADING SYSTEM","","","1975-01-01","74",""
"EKOFISK S-BS","REMOVED","Y","Gassco AS","JACKET TRIPOD","1986-10-01","","2014-08-01","74","20"
"EKOFISK SØR FL","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET TRIPOD","1972-01-01","","2009-06-30","72","20"
"EKOFISK T","ABANDONED IN PLACE","Y","ConocoPhillips Skandinavia AS","DORIS","1974-12-01","","","77","20"
"EKOFISK T WALL","ABANDONED IN PLACE","Y","ConocoPhillips Skandinavia AS","CONCRETE STRUCTURE","1989-06-24","","","77",""
"EKOFISK VA","IN SERVICE","N","ConocoPhillips Skandinavia AS","MULTI WELL TEMPLATE","2010-04-30","","","73",""
"EKOFISK VB","IN SERVICE","N","ConocoPhillips Skandinavia AS","MULTI WELL TEMPLATE","2013-05-16","","","73","25"
"EKOFISK VB-T","IN SERVICE","N","ConocoPhillips Skandinavia AS","SUBSEA STRUCTURE","2013-05-16","","","73","25"
"EKOFISK VC","IN SERVICE","N","ConocoPhillips Skandinavia AS","MULTI WELL TEMPLATE","2018-12-01","","","72","25"
"EKOFISK W","REMOVED","Y","ConocoPhillips Skandinavia AS","JACKET TRIPOD","1989-01-01","","2011-08-01","72","20"
"EKOFISK X","IN SERVICE","Y","ConocoPhillips Skandinavia AS","JACKET 4 LEGS","1997-01-01","","","77","30"
