"complexo","num","estrutura","operador","tipo","estrutura_maior","contrato","contrato_status","instalada","idade_anos","lamina_m","lat","lon"
"10461","1","D","GOM Shelf LLC","FIXED","Y","G02665","TERMIN","1987-01-01","39.6","204","27.838765","-96.02819"
"26050","2","A-PRD","GOM Shelf LLC","FIXED","Y","G13917","TERMIN","1995-01-01","31.6","87","28.59312327","-91.01489041"
"26050","1","A","GOM Shelf LLC","FIXED","Y","G13917","TERMIN","1993-01-01","33.6","87","28.59305032","-91.01994045"
"2623","1","A (Appomattox)","Shell Offshore Inc.","SEMI","Y","G33733","EXPIR","2018-06-07","8.2","7400","28.57350034","-87.93421264"
"2503","1","A (Turritella)","Shell Offshore Inc.","FPSO","Y","G21861","TERMIN","2016-01-01","10.6","9560","26.42774525","-90.83349094"
"2690","1","A (Vito)","Shell Offshore Inc.","SEMI","Y","G35348","EXPIR","2022-10-29","3.8","4050","28.02538187","-89.20920265"
"2689","1","A (Whale)","Shell Offshore Inc.","SEMI","N","G36499","RELINQ","2024-02-25","2.5","8600","26.22344022","-94.67357195"
"23021","1","A","Manta Ray Offshore Gathering Company, L.L.C.","FIXED","Y","G04888","TERMIN","1984-01-01","42.6","283","28.214128","-90.420252"
"33032","1","P","Garden Banks Gas Pipeline, L.L.C.","FIXED","Y","G01208","TERMIN","1996-01-01","30.6","140","28.57249471","-91.95945007"
"86","1","12","GOM Shelf LLC","CAIS","N","00479","TERMIN","1997-11-19","28.7","21","29.21617566","-91.59209002"
"228","1","C","GOM Shelf LLC","FIXED","Y","00479","TERMIN","1998-10-05","27.9","22","29.21140388","-91.59512751"
"228","2","10","GOM Shelf LLC","CAIS","N","00479","TERMIN","1997-06-04","29.2","22","29.2114284","-91.59524355"
"693","1","D","GOM Shelf LLC","CAIS","N","00479","TERMIN","2000-04-01","26.4","17","29.22359084","-91.58009925"
"791","1","CAIS.F","GOM Shelf LLC","CAIS","N","G02311","TERMIN","2001-02-28","25.5","36","29.10919088","-91.89602131"
