"COMPLEX_ID_NUM","STRUCTURE_NUMBER","REMOVAL_DISPOSITION"
"21652","1","To Shore"
"21653","1",""
"21653","2","To Shore"
"21656","1","To Shore"
"21657","1","To Shore"
"21658","1","To Shore"
"21659","1",""
"21660","1",""
"21663","1","To Shore"
"21664","1","Rigs-to-Reef"
"21664","2","Rigs-to-Reef"
"21666","1","Rigs-to-Reef"
"21668","1","To Shore"
"21672","1","To Shore"
"21673","1","To Shore"
"21674","1",""
"21676","1","To Shore"
"21677","1","To Shore"
"21677","2","To Shore"
"21678","1","To Shore"
"21678","2","To Shore"
"21679","1","To Shore"
"21680","1","To Shore"
"21681","1","To Shore"
"21682","1",""
"21683","1","To Shore"
"21684","1","To Shore"
"21685","1","To Shore"
"21686","1",""
"21687","1",""
"21688","1",""
"21688","2",""
"21688","3",""
"21689","1",""
"21690","1","To Shore"
"21691","1","To Shore"
"21692","1","To Shore"
"21693","1","To Shore"
"21694","1","To Shore"
"21695","1","To Shore"
"21695","2","To Shore"
"21696","1",""
"21697","1",""
"21698","1","To Shore"
"21699","1",""
"21701","1","To Shore"
"21702","1","To Shore"
"21703","1","To Shore"
"21704","1",""
"21705","1",""
"21707","1","To Shore"
"21708","1",""
"21709","1","To Shore"
"21710","1","To Shore"
"21711","1",""
"21713","1","Rigs-to-Reef"
"21713","2","Rigs-to-Reef"
"21715","1","Rigs-to-Reef"
"21716","1","Rigs-to-Reef"
"21717","1","To Shore"
"21718","1","To Shore"
"21719","1","To Shore"
"21720","1","To Shore"
"21721","1","To Shore"
"21722","1",""
"21723","1",""
"21723","2",""
"21724","1","To Shore"
"21726","1","To Shore"
"21727","1","To Shore"
"21728","1","To Shore"
"21728","2","To Shore"
"21729","1",""
"21730","1","To Shore"
"21731","1",""
"21731","2",""
"21732","1","Rigs-to-Reef"
"21733","1","Rigs-to-Reef"
"21734","1","Rigs-to-Reef"
"21736","1","To Shore"
"21737","1","To Shore"
"21738","1",""
"21738","2",""
"21740","1","To Shore"
"21747","1","Rigs-to-Reef"
"21750","1","To Shore"
"21751","1","To Shore"
"21751","2","To Shore"
"21752","1","To Shore"
"21756","1","To Shore"
"21757","1","Rigs-to-Reef"
"21758","1","Rigs-to-Reef"
"21760","1","To Shore"
"21761","1","To Shore"
"21761","2","To Shore"
"21763","1","To Shore"
"21764","1","To Shore"
"21764","2","To Shore"
"21767","1","Rigs-to-Reef"
"21768","1","Rigs-to-Reef"
"21769","1","To Shore"
"21770","1","To Shore"
"21772","1","Rigs-to-Reef"
"21774","1","Rigs-to-Reef"
"21775","1","Rigs-to-Reef"
"21777","1","To Shore"
"21781","1","To Shore"
"21783","1",""
"21784","1",""
"21785","1",""
"21786","3",""
"21786","6","To Shore"
"21789","1","To Shore"
"21790","1",""
"21791","1","Rigs-to-Reef"
"21792","1","To Shore"
"21793","1","To Shore"
"21794","1","To Shore"
"21795","1","To Shore"
"21796","1","To Shore"
"21801","1",""
"21802","1","Rigs-to-Reef"
"21814","1","To Shore"
"21814","2","To Shore"
"21814","3","To Shore"
"21817","1","Rigs-to-Reef"
"21818","1","To Shore"
"21818","2","To Shore"
"21818","3","To Shore"
"21819","1","To Shore"
"21821","1","To Shore"
"21823","1","To Shore"
"21824","1",""
"21825","1",""
"21826","1","To Shore"
"21827","1",""
"21828","1",""
"21829","1",""
"21832","1","To Shore"
"21833","1","To Shore"
"21834","1","To Shore"
"21835","1","To Shore"
"21836","1","To Shore"
"21837","1","To Shore"
"21838","1","To Shore"
"21844","1","Rigs-to-Reef"
"21845","1","Rigs-to-Reef"
"21846","1","Rigs-to-Reef"
"21846","2","Rigs-to-Reef"
"21847","2","Rigs-to-Reef"
"21849","1",""
"21850","1",""
"21851","1",""
"21853","1","To Shore"
"21854","1",""
"21856","1","Rigs-to-Reef"
"21857","1","To Shore"
"21857","2","To Shore"
"21861","1","To Shore"
"21863","1",""
