"estrutura","num","complexo","operador","tipo","estrutura_maior","contrato","contrato_status","contrato_ativo","instalada","removida","vida_anos","lamina_m","lat","lon"
"B","1","473","Apache Shelf, Inc.","CAIS","N","G13825","TERMIN","N","1999-05-28","2014-11-08","15.4","32","29.68206329","-93.3132454"
"A","1","618","Apache Shelf, Inc.","FIXED","N","G14427","TERMIN","N","2000-05-16","2013-10-10","13.4","303","28.09687634","-92.26487191"
"A","1","751","Apache Shelf, Inc.","FIXED","Y","G21116","RELINQ","N","2000-08-10","2014-06-15","13.8","260","28.2705019","-91.31852712"
"G","1","899","Apache Shelf, Inc.","CAIS","N","G01244","TERMIN","N","2001-07-23","2012-06-29","10.9","60","28.80143678","-90.62851618"
"J","1","918","Apache Shelf, Inc.","FIXED","N","00297","TERMIN","N","2001-01-01","2014-06-25","13.5","12","29.48727949","-92.35575463"
"A","1","1058","Apache Shelf, Inc.","FIXED","Y","G21680","TERMIN","N","2002-03-13","2012-09-12","10.5","265","28.21358378","-90.61297317"
"A","1","1033","Apache Shelf, Inc.","CAIS","Y","G22238","TERMIN","N","2002-04-15","2016-08-08","14.3","48","29.16411536","-94.28428836"
"2","1","1112","Apache Shelf, Inc.","CAIS","N","G17150","TERMIN","N","2002-08-03","2013-06-03","10.8","50","29.16925048","-94.29288682"
"1","1","1301","Apache Shelf, Inc.","CAIS","N","G23193","TERMIN","N","2003-06-14","2013-09-03","10.2","33","29.43793401","-93.87400842"
"B","1","1322","Apache Shelf, Inc.","FIXED","N","G23166","TERMIN","N","2003-08-26","2013-08-03","9.9","140","28.18099747","-95.48295969"
"C","1","1339","Apache Shelf, Inc.","WP","N","G21077","TERMIN","N","2003-10-26","2013-07-01","9.7","208","28.23911365","-92.79851413"
"D","1","1399","Apache Shelf, Inc.","WP","N","G21645","TERMIN","N","2004-01-02","2014-07-26","10.6","282","28.20026196","-91.43153141"
"A","1","1419","Apache Shelf, Inc.","FIXED","Y","G23193","TERMIN","N","2004-01-22","2013-09-29","9.7","38","29.45619221","-93.89212937"
"D","1","1430","Apache Shelf, Inc.","FIXED","Y","G00987","TERMIN","N","2004-03-16","2018-11-03","14.6","193","28.41516129","-91.61313138"
"A","1","1483","Apache Shelf, Inc.","FIXED","Y","G21536","TERMIN","N","2004-01-17","2016-08-17","12.6","43","29.49749187","-93.34364118"
"1","1","1491","Apache Shelf, Inc.","CAIS","N","G23199","TERMIN","N","2004-06-20","2016-07-29","12.1","45","29.1518614","-94.11924267"
"14","1","1749","Apache Shelf, Inc.","CAIS","N","G01441","TERMIN","N","2005-04-01","2014-08-09","9.4","9","29.09825528","-91.04971917"
"1","1","1818","Apache Shelf, Inc.","CAIS","N","G23197","TERMIN","N","2006-02-28","2017-07-21","11.4","50","29.23440617","-93.8764139"
"2","1","1906","Apache Shelf, Inc.","FIXED","N","G23197","TERMIN","N","2006-12-09","2016-07-27","9.6","71","29.23573598","-93.88164545"
"C","1","1994","Apache Shelf, Inc.","CAIS","N","G25579","TERMIN","N","2006-12-15","2017-07-24","10.6","50","29.23850301","-93.87205662"
"A","1","2083","Apache Shelf, Inc.","FIXED","N","G27972","EXPIR","N","2007-10-19","2012-08-18","4.8","42","29.536126","-93.7792627"
"C","1","2505","GOM Energy Venture III, LLC","FIXED","N","G03169","PROD","S","2012-11-07","","","135","28.42157449","-90.86615995"
"C","1","24103","Sanare Energy Partners, LLC","FIXED","Y","G05687","TERMIN","N","1992-03-27","","","375","28.71832","-89.393091"
"B","1","20789","Sanare Energy Partners, LLC","FIXED","Y","00062","UNIT","S","1950-01-01","","","31","28.938076","-90.962586"
"J","1","22052","Sanare Energy Partners, LLC","FIXED","Y","G12348","UNIT","S","1978-01-01","","","20","28.954091","-90.960667"
"OF","4","22052","Sanare Energy Partners, LLC","FIXED","Y","G12348","UNIT","S","1980-01-01","","","20","28.954254","-90.96076"
"LQ","5","22052","Sanare Energy Partners, LLC","FIXED","N","G12348","UNIT","S","1980-01-01","","","20","28.95382","-90.960918"
"I","1","22084","Sanare Energy Partners, LLC","FIXED","N","00060","UNIT","S","1978-01-01","","","33","28.972006","-90.963727"
"13B","1","22175","Sanare Energy Partners, LLC","CAIS","N","00060","UNIT","S","1977-01-01","","","32","28.953992","-90.974267"
"N","1","22192","Sanare Energy Partners, LLC","CAIS","N","00060","UNIT","S","1978-08-22","","","33","28.958643","-90.966243"
"6","1","22501","Sanare Energy Partners, LLC","WP","N","00057","UNIT","S","1980-01-01","1999-05-16","19.4","33","28.980114","-90.948987"
"K","2","22501","Sanare Energy Partners, LLC","FIXED","Y","00057","UNIT","S","1981-01-01","","","33","28.980062","-90.948837"
"4","3","22501","Sanare Energy Partners, LLC","CAIS","N","00057","UNIT","S","1979-01-01","1999-05-15","20.4","33","28.980131","-90.948975"
"21","1","23120","Sanare Energy Partners, LLC","CAIS","N","00060","UNIT","S","1985-01-01","","","33","28.95474377","-90.96043282"
"A","1","23932","Sanare Energy Partners, LLC","FIXED","Y","G05498","TERMIN","N","1990-01-01","","","80","28.732422","-91.607955"
"L","1","23999","Sanare Energy Partners, LLC","CAIS","N","G12348","UNIT","S","1992-09-15","","","33","28.955716","-90.953066"
"A","1","20713","Sanare Energy Partners, LLC","FIXED","Y","G01192","PROD","S","1966-01-01","","","97","28.804659","-92.071803"
"CA","1","23208","Sanare Energy Partners, LLC","FIXED","N","G01192","PROD","S","1985-01-01","","","97","28.776233","-92.095242"
"A","1","10116","Sanare Energy Partners, LLC","FIXED","Y","G02391","PROD","S","1978-01-01","","","283","27.95564","-94.027118"
"B-AUX","2","10116","Sanare Energy Partners, LLC","FIXED","N","G02391","PROD","S","1982-01-01","","","283","27.956391","-94.027392"
"A","1","10128","Sanare Energy Partners, LLC","FIXED","Y","G03241","TERMIN","N","1979-01-01","","","182","28.355982","-93.955105"
"2","1","20881","Sanare Energy Partners, LLC","CAIS","N","00680","PROD","S","1959-01-01","","","28","29.691233","-93.599351"
"10","1","20890","Sanare Energy Partners, LLC","CAIS","N","00680","PROD","S","1961-01-01","2018-04-23","57.3","28","29.696864","-93.57994"
"A","1","20891","Sanare Energy Partners, LLC","FIXED","Y","00680","PROD","S","1960-01-01","","","28","29.693575","-93.597514"
"14","1","21011","Sanare Energy Partners, LLC","FIXED","N","00680","PROD","S","1970-01-01","","","21","29.693384","-93.581444"
"A","1","28020","Sanare Energy Partners, LLC","FIXED","Y","","","","1995-08-10","","","172","28.39026518","-93.9334069"
"M","1","32011","Sanare Energy Partners, LLC","FIXED","N","G12349","UNIT","S","1995-01-01","","","30","28.93990378","-90.97407633"
"JA","1","29040","Sanare Energy Partners, LLC","FIXED","Y","G13563","TERMIN","N","1996-04-29","","","71","28.9240605","-93.15463911"
"1","1","1641","Sanare Energy Partners, LLC","CAIS","N","G23730","TERMIN","N","2005-01-26","","","26","29.70266672","-93.53982432"
"G","2","1641","Sanare Energy Partners, LLC","FIXED","Y","G23730","TERMIN","N","2005-10-06","","","26","29.70257243","-93.54003332"
"2","1","1639","Sanare Energy Partners, LLC","CAIS","N","G21534","TERMIN","N","2005-01-29","","","34","29.64665093","-93.56543151"
"B","1","783","Sanare Energy Partners, LLC","FIXED","N","G11383","TERMIN","N","2000-09-09","","","177","28.40485287","-93.94137798"
"B","1","1252","Sanare Energy Partners, LLC","FIXED","N","G21532","TERMIN","N","2003-05-24","","","34","29.65248163","-93.5690095"
"B-AUX 1 BRG 2KR","2","1252","Sanare Energy Partners, LLC","MOPU","N","G21532","TERMIN","N","2003-06-06","2008-07-18","5.1","34","29.65248163","-93.5690095"
"Cais.#14","1","1268","Sanare Energy Partners, LLC","CAIS","N","00057","UNIT","S","2003-10-01","","","25","28.98237156","-90.95446694"
"2","1","1398","Sanare Energy Partners, LLC","CAIS","N","G21532","TERMIN","N","2003-11-21","","","34","29.66092992","-93.56682698"
"2","1","1653","Sanare Energy Partners, LLC","CAIS","N","G23730","TERMIN","N","2005-03-13","","","26","29.70590878","-93.53052634"
"33","1","1939","Sanare Energy Partners, LLC","CAIS","N","00060","UNIT","S","2007-02-13","","","33","28.97325211","-90.95233421"
"D","1","2038","Sanare Energy Partners, LLC","CAIS","N","00680","PROD","S","2007-08-15","","","28","29.69370273","-93.59810844"
"D-AUX 1","2","2038","Sanare Energy Partners, LLC","CAIS","N","00680","PROD","S","2009-09-06","","","28","29.69376532","-93.59814766"
"A","1","2050","Sanare Energy Partners, LLC","FIXED","N","G22268","TERMIN","N","2007-07-07","","","165","28.41132767","-93.88791867"
"3","1","2119","Sanare Energy Partners, LLC","CAIS","N","G21534","TERMIN","N","2008-07-17","","","37","29.63230887","-93.5656406"
"J","1","2171","Sanare Energy Partners, LLC","FIXED","Y","00810","UNIT","S","2008-06-20","","","180","28.47606504","-91.84301598"
"16","1","2217","Sanare Energy Partners, LLC","CAIS","N","G12345","UNIT","S","2008-05-27","","","33","28.9803895","-90.95753595"
"D","1","2275","Sanare Energy Partners, LLC","FIXED","Y","G25937","TERMIN","N","2009-10-03","","","55","29.33651852","-92.98828894"
"B","1","2469","Sanare Energy Partners, LLC","FIXED","N","G32207","RELINQ","N","2012-05-07","","","242","28.25926368","-91.06088608"
"A","1","2423","Gulf Offshore LLC","FIXED","Y","G30385","","","2011-04-15","","","87","28.92077467","-92.22686902"
"A","1","21337","Avocet LNG, LLC","FIXED","Y","G01997","TERMIN","N","1972-01-01","2021-07-25","49.6","44","29.396277","-93.25099"
"A-AUX1","2","21337","Avocet LNG, LLC","FIXED","Y","G01997","TERMIN","N","1972-01-01","2021-07-27","49.6","44","29.396273","-93.251304"
"A-AUX2","3","21337","Avocet LNG, LLC","FIXED","Y","G01997","TERMIN","N","1977-01-01","","","44","29.396268","-93.25159"
"23","1","20281","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1960-01-01","","","35","28.970884","-89.241993"
"38","1","20284","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1961-01-01","","","55","28.965606","-89.252423"
"49","1","20292","Nugulf Operating, L.L.C.","FIXED","N","00353","TERMIN","N","1958-01-01","","","36","28.978209","-89.24597"
"5 Z","1","20297","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1959-01-01","","","45","28.976433","-89.248071"
"9 Z","1","20300","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1959-01-01","","","35","28.97458","-89.246045"
"Z","1","20302","Nugulf Operating, L.L.C.","FIXED","Y","00694","TERMIN","N","1960-01-01","","","75","28.969785","-89.245275"
"13 V","1","20312","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1966-01-01","","","65","28.971302","-89.266766"
"10","1","20313","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1961-01-01","","","40","28.974491","-89.241906"
"12","1","20314","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1960-01-01","","","35","28.971236","-89.26264"
"15","1","20315","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1960-01-01","","","40","28.970951","-89.24612"
"16","1","20316","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1960-01-01","","","35","28.974646","-89.250172"
"21 V","1","20317","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1960-01-01","","","35","28.968475","-89.266812"
"18","1","20318","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1960-01-01","","","35","28.967585","-89.262702"
"66","1","20359","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1962-01-01","","","55","28.962832","-89.26305"
"A71","1","20360","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1962-01-01","","","45","28.965617","-89.244511"
"130","1","20366","Nugulf Operating, L.L.C.","FIXED","N","00353","TERMIN","N","1964-01-01","","","36","28.979663","-89.264674"
"93","1","20399","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1967-01-01","","","50","28.972683","-89.257287"
"79","1","20400","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1964-01-01","","","45","28.968552","-89.262495"
"24","1","20403","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1960-01-01","","","60","28.967321","-89.246195"
"A17","1","20405","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1960-01-01","","","35","28.971169","-89.259814"
"1 V","1","20407","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1959-01-01","","","36","28.976691","-89.264579"
"AA WEST","1","20478","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1960-01-01","","","65","28.96232","-89.238668"
"AA East","2","20478","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1960-01-01","","","65","28.96260697","-89.23792"
"37","1","20544","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1961-01-01","","","35","28.9607","-89.238077"
"33","1","20546","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1960-01-01","","","35","28.964792","-89.237679"
"60","1","20547","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1962-01-01","","","65","28.964773","-89.236522"
"99","1","20549","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1968-01-01","","","35","28.966156","-89.229344"
"30","1","20550","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1960-01-01","","","50","28.961594","-89.246326"
"48","1","20681","Nugulf Operating, L.L.C.","FIXED","N","00694","TERMIN","N","1967-01-01","","","70","28.962224","-89.252493"
"B","1","58","Fieldwood Energy Offshore LLC","FIXED","N","G03593","TERMIN","N","1997-09-18","2021-06-24","23.8","110","28.51054344","-90.67861182"
"B","1","137","Fieldwood Energy Offshore LLC","FIXED","Y","G12020","TERMIN","N","1998-01-25","2017-07-31","19.5","160","28.51565105","-90.27744176"
"A","1","319","Fieldwood Energy Offshore LLC","FIXED","Y","G16320","EXPIR","N","1998-10-19","2024-08-22","25.8","93","28.81291459","-91.97581825"
"B","1","317","Fieldwood Energy Offshore LLC","FIXED","N","G16320","EXPIR","N","1998-11-09","2023-09-14","24.8","93","28.80378507","-91.97469873"
"1","1","351","Fieldwood Energy Offshore LLC","CAIS","N","G17964","RELINQ","N","2001-04-15","2011-03-09","9.9","22","29.05744386","-91.58933439"
"C","1","458","Fieldwood Energy Offshore LLC","FIXED","N","G16320","EXPIR","N","1999-06-01","2021-08-01","22.2","97","28.7975179","-91.97972214"
"A","1","637","Fieldwood Energy Offshore LLC","FIXED","N","G15078","TERMIN","N","2000-03-21","2015-11-07","15.6","47","29.27878607","-93.60243836"
"A","1","761","Fieldwood Energy Offshore LLC","FIXED","Y","G32786","RELINQ","N","2000-12-01","2011-08-29","10.7","165","28.43669067","-93.44584369"
"B","1","827","Fieldwood Energy Offshore LLC","FIXED","Y","G17188","TERMIN","N","2000-11-25","2018-07-29","17.7","194","28.13360126","-94.43891542"
"J","1","859","Fieldwood Energy Offshore LLC","FIXED","N","G01027","TERMIN","N","2001-02-09","2022-08-15","21.5","162","28.43829495","-91.27344737"
"2","1","910","Fieldwood Energy Offshore LLC","CAIS","N","G17964","RELINQ","N","2001-06-15","2011-03-09","9.7","22","29.05809458","-91.58276069"
"3","1","917","Fieldwood Energy Offshore LLC","CAIS","N","G15078","TERMIN","N","2001-05-01","2015-11-03","14.5","47","29.25103332","-93.60543087"
"C","1","929","Fieldwood Energy Offshore LLC","FIXED","Y","00508","TERMIN","N","2001-08-15","2015-06-09","13.8","45","29.44902","-94.11863983"
"3","1","1059","Fieldwood Energy Offshore LLC","CAIS","N","G17964","RELINQ","N","1996-09-05","2011-03-10","14.5","22","29.0637728","-91.58440902"
"A","1","1062","Fieldwood Energy Offshore LLC","FIXED","Y","G21580","TERMIN","N","2001-11-08","2020-12-21","19.1","183","28.48493872","-92.74208174"
"A","1","1063","Fieldwood Energy Offshore LLC","FIXED","N","G16535","TERMIN","N","2001-01-01","2021-06-30","20.5","103","29.88324129","-88.46872346"
"B","1","1118","Fieldwood Energy Offshore LLC","CAIS","Y","G20655","TERMIN","N","2002-06-04","2015-10-19","13.4","40","29.49302049","-94.01919287"
"A","1","1147","Fieldwood Energy Offshore LLC","FIXED","Y","G22510","RELINQ","N","2002-08-30","2020-09-10","18","43","29.55749917","-93.2329752"
"D","1","1205","Fieldwood Energy Offshore LLC","FIXED","Y","G01172","TERMIN","N","2003-02-22","2022-10-21","19.7","214","28.29272123","-92.2058001"
"D","1","1257","Fieldwood Energy Offshore LLC","FIXED","Y","G22792","TERMIN","N","2003-03-17","2015-09-05","12.5","56","29.57086586","-88.7721742"
"B","1","1254","Fieldwood Energy Offshore LLC","FIXED","Y","G22792","TERMIN","N","2003-01-01","2015-09-17","12.7","52","29.58063142","-88.73267195"
"B","1","1267","Fieldwood Energy Offshore LLC","FIXED","Y","G21142","TERMIN","N","2003-07-01","2019-08-07","16.1","35","29.4777873","-88.98995641"
"CAIS.#1","1","1296","Fieldwood Energy Offshore LLC","CAIS","N","G23735","TERMIN","N","2003-08-08","2022-05-23","18.8","37","29.60889126","-93.17018022"
"3","2","1296","Fieldwood Energy Offshore LLC","CAIS","N","G23735","TERMIN","N","2006-02-25","2022-05-26","16.2","37","29.60882256","-93.17017581"
"A","1","1333","Fieldwood Energy Offshore LLC","WP","N","G19797","TERMIN","N","2004-03-14","2018-08-29","14.5","288","28.13432603","-91.77735524"
"C","1","1417","Fieldwood Energy Offshore LLC","CAIS","N","G03738","TERMIN","N","2004-04-04","2014-10-24","10.6","54","29.0507482","-94.73260533"
"A","1","1513","Fieldwood Energy Offshore LLC","FIXED","Y","G24873","TERMIN","N","2004-07-19","2016-09-27","12.2","188","28.43042103","-91.90949476"
"#6","1","1524","Fieldwood Energy Offshore LLC","CAIS","N","G22792","TERMIN","N","2005-01-01","2015-08-31","10.7","80","29.59459484","-88.73118575"
"2","1","1514","Fieldwood Energy Offshore LLC","CAIS","N","G23735","TERMIN","N","2004-08-25","2021-09-21","17.1","39","29.58003558","-93.20122786"
"A","1","1725","Fieldwood Energy Offshore LLC","FIXED","Y","G22712","RELINQ","N","2005-06-06","2013-09-29","8.3","78","28.56323362","-90.77883043"
"2","1","1746","Fieldwood Energy Offshore LLC","CAIS","N","G22712","RELINQ","N","2005-07-30","2014-08-09","9","72","28.58167574","-90.79280876"
"C","1","1747","Fieldwood Energy Offshore LLC","FIXED","Y","G25536","TERMIN","N","2006-01-04","2013-07-28","7.6","50","28.85081039","-94.80470175"
"A","1","1792","Fieldwood Energy Offshore LLC","FIXED","Y","G22797","TERMIN","N","2007-12-18","2018-07-30","10.6","69","29.45941229","-88.76610448"
"A","1","1760","Fieldwood Energy Offshore LLC","FIXED","N","G23933","TERMIN","N","2006-02-21","2021-11-02","15.7","160","28.34938615","-90.6686976"
"1","1","1815","Fieldwood Energy Offshore LLC","CAIS","N","G27196","RELINQ","N","2006-03-09","2019-08-06","13.4","55","29.47212507","-88.87790674"
"1","1","1960","Fieldwood Energy Offshore LLC","CAIS","N","G24721","TERMIN","N","2007-06-01","2014-07-31","7.2","72","29.08214553","-93.19460887"
"A","1","1956","Fieldwood Energy Offshore LLC","FIXED","N","","","","2006-09-01","2018-10-26","12.2","100","28.89933176","-89.36805041"
"C","1","2037","Fieldwood Energy Offshore LLC","FIXED","Y","G23840","TERMIN","N","2007-06-20","2016-10-02","9.3","107","28.77033853","-92.07066841"
"C","1","2031","Fieldwood Energy Offshore LLC","FIXED","Y","G02735","TERMIN","N","2007-04-22","2017-06-28","10.2","210","28.2599452","-93.55010248"
"B","1","2075","Fieldwood Energy Offshore LLC","CAIS","N","G23771","TERMIN","N","2007-07-30","2014-08-22","7.1","106","28.70657317","-93.06599982"
